Depth,Category,Parent Category,Content Title,Content Type,Status,2019 Hits,URL,Last Modified,Publish Date,Expire Date
1,Press Releases,Media,Mayor Wheeler Reassigns Bureaus to Improve Collaboration and Get Results,Text,Active,262,https://www.portlandoregon.gov/wheeler/article/693738,8/8/2018 15:59,8/8/2018 15:57,
1,Press Releases,Media,Executive Order on Bureau Assignments - 8/8/2016,Binary (application/pdf),Active,246,https://www.portlandoregon.gov/wheeler/article/693740,8/8/2018 15:59,8/8/2018 15:58,
1,Press Releases,Media,"Portland, OR Receives Competitive Grant Award to Kickstart Local Municipal Financial Empowerment Efforts",Text,Active,243,https://www.portlandoregon.gov/wheeler/article/693830,8/9/2018 14:37,8/9/2018 14:37,
1,Press Releases,Media,Actions to create job opportunities and to increase housing options,Text,Active,264,https://www.portlandoregon.gov/wheeler/article/695671,9/5/2018 9:33,8/23/2018 10:14,
1,Press Releases,Media,"Portland Hip-Hop Day 2018 Comes to City Hall, Featuring Free Performances From 30 Artists",Text,Active,251,https://www.portlandoregon.gov/wheeler/article/695685,8/23/2018 12:03,8/23/2018 12:02,
1,Press Releases,Media,Funding Future Connect Scholarships and a 21st Century Policing Initiative.,Text,Active,273,https://www.portlandoregon.gov/wheeler/article/696143,9/5/2018 9:32,8/29/2018 9:22,
1,Press Releases,Media,"Lents, sidewalk repair and formalization of the Portland Committee on Community-Engaged Policing.",Text,Active,243,https://www.portlandoregon.gov/wheeler/article/696796,9/5/2018 9:30,9/5/2018 9:29,
1,Press Releases,Media,Kick Off “STEPtember” with First-Ever Mayoral Walk,Text,Active,238,https://www.portlandoregon.gov/wheeler/article/696987,9/6/2018 11:32,9/6/2018 11:31,
1,Press Releases,Media,Portland Committee for Community-Engaged Policing (PCCEP) Appointees Selected,Text,Active,313,https://www.portlandoregon.gov/wheeler/article/697524,9/11/2018 13:15,9/11/2018 13:14,
1,Press Releases,Media,Westwind Apartments Announced as Next Housing Bond Project,Text,Active,626,https://www.portlandoregon.gov/wheeler/article/697549,9/11/2018 15:43,9/11/2018 15:42,
1,Press Releases,Media,"Mayor Wheeler introduces legal services for immigrants, homeownership assistance and clean diesel.",Text,Active,285,https://www.portlandoregon.gov/wheeler/article/698183,9/19/2018 9:18,9/19/2018 9:17,
1,Press Releases,Media,City of Portland to Host 1st Annual Tribal Nations Summit,Text,Active,447,https://www.portlandoregon.gov/wheeler/article/698726,9/25/2018 13:09,9/25/2018 13:05,
1,Press Releases,Media,Statement by Mayor Ted Wheeler on Officer Involved Shooting,Text,Active,239,https://www.portlandoregon.gov/wheeler/article/699273,10/2/2018 8:59,10/2/2018 8:59,
1,Press Releases,Media,Mayor Wheeler Statement on FCC Limiting Local Authority in 5G Rollout,Text,Active,456,https://www.portlandoregon.gov/wheeler/article/699283,10/2/2018 9:12,10/2/2018 9:11,
1,Press Releases,Media,Council agenda includes PCCEP appointments and workforce development.,Text,Active,251,https://www.portlandoregon.gov/wheeler/article/699284,10/2/2018 9:16,10/2/2018 9:15,
1,Press Releases,Media,Mayor Wheeler Statement on Special Council Meeting Resolution,Text,Active,248,https://www.portlandoregon.gov/wheeler/article/699321,10/2/2018 11:42,10/2/2018 11:41,
1,Press Releases,Media,"This week’s council agenda includes community grands, amended rules for unreinforced masonry, and equitable housing strategy.",Text,Active,246,https://www.portlandoregon.gov/wheeler/article/699425,10/3/2018 9:11,10/3/2018 9:09,
1,Press Releases,Media,Mayor Wheeler Statement on ICE Union Calling for Criminal Investigation,Text,Active,266,https://www.portlandoregon.gov/wheeler/article/699454,10/3/2018 13:17,10/3/2018 13:17,
1,Press Releases,Media,This week’s Council Agenda includes reports on digital equity and historic landmarks.,Text,Active,258,https://www.portlandoregon.gov/wheeler/article/699873,10/10/2018 9:19,10/10/2018 9:18,
1,Press Releases,Media,Mayor Ted Wheeler to Announce New Trash Initiative in Downtown Portland,Text,Active,264,https://www.portlandoregon.gov/wheeler/article/699898,10/10/2018 12:23,10/10/2018 12:22,
1,Press Releases,Media,Statement by Mayor Wheeler Vowing Action to Crack Down on Recurring Street Brawls in Portland,Text,Active,358,https://www.portlandoregon.gov/wheeler/article/700439,10/15/2018 19:56,10/15/2018 19:56,
1,Press Releases,Media,Statement by Mayor Wheeler on Paul Allen’s Death,Text,Active,257,https://www.portlandoregon.gov/wheeler/article/700468,10/16/2018 8:43,10/16/2018 8:42,
1,Press Releases,Media,This week’s council agenda includes affordable housing and a Latinx Heritage Month proclamation.,Text,Active,263,https://www.portlandoregon.gov/wheeler/article/700617,10/17/2018 9:45,10/17/2018 9:44,
1,Press Releases,Media,Mike Bloomberg Names Portland Winner in Bloomberg American Cities Climate Challenge,Text,Active,381,https://www.portlandoregon.gov/wheeler/article/700656,10/17/2018 12:39,10/17/2018 12:38,
1,Press Releases,Media,Portland & Seattle Win Legal Fight with Trump/Sessions Order,Text,Active,289,https://www.portlandoregon.gov/wheeler/article/701223,11/26/2018 13:25,10/25/2018 12:26,
1,Press Releases,Media,Mayor Ted Wheeler Will Introduce a Protest Safety Ordinance in City Council,Text,Active,304,https://www.portlandoregon.gov/wheeler/article/701949,11/1/2018 12:03,11/1/2018 10:36,
1,Press Releases,Media,Attorney General and Governor Kate Brown Sue U.S. Government After Feds Refuse Grant Money to Oregon,Text,Active,312,https://www.portlandoregon.gov/wheeler/article/702694,11/9/2018 12:57,11/9/2018 12:56,
1,Press Releases,Media,Endorsement of Constitutionality of Protest Safety Ordinance,Text,Active,339,https://www.portlandoregon.gov/wheeler/article/702879,11/14/2018 9:53,11/13/2018 14:18,
1,Press Releases,Media,McCord ICAP Statement on Portland Ordinance,Binary (application/pdf),Active,370,https://www.portlandoregon.gov/wheeler/article/702881,11/13/2018 14:25,11/13/2018 14:25,
1,Press Releases,Media,First Portland Committee On Community-Engaged Policing Meeting To Be Held Nov. 28,Text,Active,623,https://www.portlandoregon.gov/wheeler/article/704255,11/26/2018 11:36,11/26/2018 11:35,
1,Press Releases,Media,Mayor Wheeler Introduces Two Notable Items in City Council On Nov. 21,Text,Active,275,https://www.portlandoregon.gov/wheeler/article/704257,11/26/2018 11:41,11/26/2018 11:37,
1,Press Releases,Media,Application Process Re-Opens For Marathon Producer,Text,Active,285,https://www.portlandoregon.gov/wheeler/article/704259,11/26/2018 11:43,11/26/2018 11:42,
1,Press Releases,Media,"Mayor Wheeler Introduces Four Notable Items in City Council This Week: PS3s, Affordable Housing and Plastics Reduction",Text,Active,342,https://www.portlandoregon.gov/wheeler/article/705569,12/5/2018 9:41,12/5/2018 9:39,
1,Press Releases,Media,Community conversations about reducing single-use plastics leads to unanimous vote on new ordinance,Text,Active,456,https://www.portlandoregon.gov/wheeler/article/706018,12/10/2018 9:49,12/10/2018 9:26,
1,Press Releases,Media,City of Portland Commits to Clean Air Construction Standard,Text,Active,385,https://www.portlandoregon.gov/wheeler/article/706909,12/17/2018 10:26,12/17/2018 10:22,
1,Press Releases,Media,"Mayor Wheeler, Chair Kafoury, Portland Housing Bureau to Announce Funding Award for Innovative Supportive Housing Pilot",Text,Active,480,https://www.portlandoregon.gov/wheeler/article/710752,1/29/2019 10:09,1/29/2019 10:09,
1,Press Releases,Media,Mayor Wheeler and Chair Kafoury Announce Innovative Supportive Housing Pilot,Text,Active,524,https://www.portlandoregon.gov/wheeler/article/710753,1/29/2019 10:10,1/29/2019 10:09,
1,Press Releases,Media,Lifelong Portlander Colin O’Brady Makes History,Text,Active,548,https://www.portlandoregon.gov/wheeler/article/710754,1/29/2019 10:13,1/29/2019 10:11,
1,Press Releases,Media,Mayor Wheeler Announces Brooksee as New Marathon Producer,Text,Active,706,https://www.portlandoregon.gov/wheeler/article/711572,2/4/2019 14:10,2/4/2019 13:04,
1,Press Releases,Media,Utility Resources Available for Furloughed Workers,Text,Active,731,https://www.portlandoregon.gov/wheeler/article/711574,2/4/2019 14:12,2/4/2019 14:11,
1,Press Releases,Media,Mayor Wheeler Introduces Five Notable Items in City Council This Week,Text,Active,1036,https://www.portlandoregon.gov/wheeler/article/711869,2/7/2019 10:06,2/6/2019 15:28,
1,Press Releases,Media,Portland City Council Introduces Resolution Condemning White Supremacy and Alt-Right Hate Groups,Text,Active,1543,https://www.portlandoregon.gov/wheeler/article/711936,2/7/2019 12:11,2/7/2019 11:56,
1,Press Releases,Media,Mayor Wheeler Statement on PPB Text Messages,Text,Active,2802,https://www.portlandoregon.gov/wheeler/article/712829,2/15/2019 18:27,2/15/2019 17:41,
1,Press Releases,Media,Statement From Mayor Wheeler On Training & Independent Investigation,Text,Active,2793,https://www.portlandoregon.gov/wheeler/article/712831,2/20/2019 10:30,2/15/2019 17:52,
1,Press Releases,Media,Mayor Ted Wheeler Announces Kristin Dennis as New Chief of Staff,Text,Active,508,https://www.portlandoregon.gov/wheeler/article/713214,2/22/2019 13:43,2/22/2019 13:41,
1,Press Releases,Media,Mayor Ted Wheeler Selects Andrea Durbin As New Director of the Bureau of Planning and Sustainability,Text,Active,615,https://www.portlandoregon.gov/wheeler/article/713216,2/22/2019 13:44,2/22/2019 13:43,
1,Press Releases,Media,Mayor Wheeler to Speak at International Mass Timber Conference,Text,Active,792,https://www.portlandoregon.gov/wheeler/article/725970,3/19/2019 15:25,3/19/2019 15:24,
1,Press Releases,Media,City Council to Recognize Transgender Day of Visibility,Text,Active,726,https://www.portlandoregon.gov/wheeler/article/727843,4/4/2019 16:25,4/4/2019 16:23,
1,Press Releases,Media,Mayor Wheeler Hires New Senior Public Safety Adviser,Text,Active,813,https://www.portlandoregon.gov/wheeler/article/727845,4/4/2019 16:27,4/4/2019 16:25,
1,Press Releases,Media,Portland Community Insights Survey,Text,Active,270,https://www.portlandoregon.gov/wheeler/article/740494,8/23/2019 11:51,8/23/2019 11:44,
1,Press Releases,Media,"2019 Portland Community Insights Survey Open Until May 28th, 2019.",Text,Active,696,https://www.portlandoregon.gov/wheeler/article/740495,8/23/2019 12:03,8/23/2019 11:53,
1,Press Releases,Media,Community Survey Findings on PPB,Text,Active,699,https://www.portlandoregon.gov/wheeler/article/740496,8/23/2019 12:03,8/23/2019 11:56,
1,Press Releases,Media,Mayor Wheeler Hires New Deputy Chief of Staff,Text,Active,739,https://www.portlandoregon.gov/wheeler/article/740498,8/23/2019 12:07,8/23/2019 12:05,
1,Press Releases,Media,The National Police Foundation Will Conduct Independent Assessment of PPB Demonstration Response,Text,Active,743,https://www.portlandoregon.gov/wheeler/article/740499,8/23/2019 12:11,8/23/2019 12:08,
1,Press Releases,Media,Mayor Wheeler Joins Youth Climate Activists at Lownsdale Square,Text,Active,735,https://www.portlandoregon.gov/wheeler/article/740500,8/23/2019 12:13,8/23/2019 12:11,
1,Press Releases,Media,Celebrating Pride Month,Text,Active,744,https://www.portlandoregon.gov/wheeler/article/740501,8/23/2019 12:15,8/23/2019 12:14,
1,Press Releases,Media,Annual Juneteenth Independence Day Celebration,Text,Active,724,https://www.portlandoregon.gov/wheeler/article/740508,8/23/2019 13:40,8/23/2019 13:39,
1,Press Releases,Media,"With a Decade of Success, SummerWorks Strengthens Region’s Workforce",Text,Active,762,https://www.portlandoregon.gov/wheeler/article/740509,8/23/2019 13:46,8/23/2019 13:42,
1,Press Releases,Media,Mayor Ted Wheeler Hires New Public Information Officer,Text,Active,613,https://www.portlandoregon.gov/wheeler/article/740520,8/23/2019 14:55,8/23/2019 14:53,
1,Press Releases,Media,Mayor Ted Wheeler and Portland City Council to Host Public Community Forum on Zenith,Text,Active,790,https://www.portlandoregon.gov/wheeler/article/740521,11/7/2019 9:54,8/23/2019 14:56,
1,Press Releases,Media,Mayor Ted Wheeler taking national stage to discuss local action in fight against climate change,Text,Active,762,https://www.portlandoregon.gov/wheeler/article/740522,11/7/2019 9:54,8/23/2019 15:02,
1,Press Releases,Media,Mayor Ted Wheeler Appoints New City Budget Director,Text,Active,795,https://www.portlandoregon.gov/wheeler/article/740523,11/7/2019 9:53,8/23/2019 15:04,
1,Press Releases,Media,City Council to honor Portland Thorns who participated in the 2019 FIFA Women’s World Cup,Text,Active,463,https://www.portlandoregon.gov/wheeler/article/740675,11/7/2019 9:53,8/27/2019 14:41,
1,Press Releases,Media,Mayor Ted Wheeler Appoints Interim Director For The Mayor’s Office of Youth Violence Prevention,Text,Active,535,https://www.portlandoregon.gov/wheeler/article/740676,11/7/2019 9:52,8/27/2019 14:44,
1,Press Releases,Media,Mayor Ted Wheeler Joins 230+ Mayors Calling on the Senate to Act on Bipartisan Gun Safety Legislation,Text,Active,554,https://www.portlandoregon.gov/wheeler/article/740679,11/7/2019 9:52,8/27/2019 14:46,
1,Press Releases,Media,"OUR CITY, OUR HOME",Text,Active,722,https://www.portlandoregon.gov/wheeler/article/740681,11/7/2019 9:51,8/27/2019 14:50,
1,Press Releases,Media,Mayor Wheeler and the City of Portland encourage people to shop downtown this weekend,Text,Active,647,https://www.portlandoregon.gov/wheeler/article/740684,11/7/2019 9:51,8/27/2019 14:54,
1,Press Releases,Media,Mayor Wheeler to Unveil New Slate of Housing Bond Projects,Text,Active,582,https://www.portlandoregon.gov/wheeler/article/742026,11/7/2019 9:50,9/16/2019 14:13,
1,Press Releases,Media,City Set to Exceed Housing Bond Goals with Slate of New Projects,Text,Active,483,https://www.portlandoregon.gov/wheeler/article/742183,11/7/2019 9:49,9/18/2019 10:20,
1,Press Releases,Media,"Director Andrea Durbin, Bureau of Planning and Sustainability, to update Portland’s action in climate crisis matters",Text,Active,533,https://www.portlandoregon.gov/wheeler/article/742184,11/7/2019 9:49,9/18/2019 10:33,
1,Press Releases,Media,Portland City Council Hosting Presentation on National Best Practices for Policing,Text,Active,711,https://www.portlandoregon.gov/wheeler/article/742911,11/7/2019 9:48,9/27/2019 13:35,
1,Press Releases,Media,Mayor Ted Wheeler joins global coalition to tackle climate crisis,Text,Active,466,https://www.portlandoregon.gov/wheeler/article/743503,11/7/2019 9:48,10/3/2019 15:50,
1,Press Releases,Media,Mayor Ted Wheeler congratulates Northwest Pilot Project for 50 years of service to Seniors,Text,Active,389,https://www.portlandoregon.gov/wheeler/article/743505,11/7/2019 9:48,10/3/2019 15:58,
1,Press Releases,Media,Portland celebrates 60 years of sister city partnership with Sapporo and bolsters economic development with Japan,Text,Active,418,https://www.portlandoregon.gov/wheeler/article/744831,11/7/2019 9:47,10/18/2019 12:14,
1,Press Releases,Media,Mayor Ted Wheeler appoints Nike Greene as Director for the Office of Youth Violence Prevention,Text,Active,384,https://www.portlandoregon.gov/wheeler/article/745040,10/22/2019 10:39,10/22/2019 10:36,
1,Press Releases,Media,Portland’s Office for Community Technology Denies Request for Zenith’s Fossil Fuel Expansion,Text,Active,600,https://www.portlandoregon.gov/wheeler/article/745171,11/7/2019 9:47,10/23/2019 8:26,
1,Press Releases,Media,Portland Mayor Ted Wheeler to host forum on community safety and livability in Lents,Text,Active,606,https://www.portlandoregon.gov/wheeler/article/745600,11/7/2019 9:46,10/29/2019 9:27,
1,Press Releases,Media,Mayor Ted Wheeler Announces Community Conversation on Portland Police Association Contract,Text,Active,552,https://www.portlandoregon.gov/wheeler/article/746483,11/7/2019 9:45,11/5/2019 16:17,
1,Press Releases,Media,Portland City Council Explores Climate Action Proposals in East Portland This Thursday Night,Text,Active,493,https://www.portlandoregon.gov/wheeler/article/746484,11/7/2019 9:45,11/5/2019 16:20,
1,Press Releases,Media,City of Portland to host 2nd Annual Tribal Nations Summit,Text,Active,626,https://www.portlandoregon.gov/wheeler/article/746600,11/7/2019 9:44,11/6/2019 16:48,
