CATEGORY_NAME,CONTENT_ID,CONTENT_NAME,CONTENT_TYPE,DEPTH,EXPIRE_DATE,LAST_UPDATED_DATE,PUBLISH_DATE,STATUS,SUMMARY_TEXT,TEXT,URL
2019 Reports (Monthly),740999,August 2019 Issued Facility Permits,B,2,,2019-09-03 16:03:02 UTC,2019-09-03 16:01:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/740999
2019 Reports (Monthly),741000,August 2019 Facility Permit Intakes,B,2,,2019-09-03 16:10:52 UTC,2019-09-03 16:10:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/741000
2019 Reports (Monthly),741001,August 2019 Land Use Review Intakes,B,2,,2019-09-03 16:11:07 UTC,2019-09-03 16:10:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/741001
2019 Reports (Monthly),741003,August 2019 Issued Commercial Building Permits,B,2,,2019-09-03 16:12:30 UTC,2019-09-03 16:12:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/741003
2019 Reports (Monthly),741004,August 2019 Commercial Building Permit Intakes,B,2,,2019-09-03 16:12:43 UTC,2019-09-03 16:12:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/741004
2019 Reports (Weekly),741006,"August 26, 2019 to September 1, 2019 Issued Residential Permits",B,2,,2019-09-03 16:20:17 UTC,2019-09-03 16:19:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/741006
2019 Reports (Weekly),741007,"August 26, 2019 to September 1, 2019 Residential Permit Intakes",B,2,,2019-09-03 16:20:43 UTC,2019-09-03 16:20:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/741007
2019 Reports (Weekly),741008,"August 26, 2019 to September 1, 2019 Issued Facility Permits",B,2,,2019-09-03 16:22:13 UTC,2019-09-03 16:22:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/741008
2019 Reports (Weekly),741010,"August 26, 2019 to September 1, 2019 Facility Permit Intakes",B,2,,2019-09-03 16:30:41 UTC,2019-09-03 16:30:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/741010
2019 Reports (Weekly),741011,"August 26, 2019 to September 1, 2019 Land Use Review Intakes",B,2,,2019-09-03 16:30:56 UTC,2019-09-03 16:30:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/741011
2019 Reports (Weekly),741012,"August 26, 2019 to September 1, 2019 Issued Commercial Building Permits",B,2,,2019-09-03 16:31:16 UTC,2019-09-03 16:31:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/741012
2019 Reports (Weekly),741531,"August 26, 2019 to September 1, 2019 Commercial Building Permit Intakes",B,2,,2019-09-09 16:06:59 UTC,2019-09-09 16:06:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/741531
2019 Reports (Weekly),741532,"September 2, 2019 to September 8, 2019 Issued Residential Permits",B,2,,2019-09-09 16:07:59 UTC,2019-09-09 16:07:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/741532
2019 Reports (Weekly),741533,"September 2, 2019 to September 8, 2019 Residential Permit Intakes",B,2,,2019-09-09 16:08:14 UTC,2019-09-09 16:08:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/741533
2019 Reports (Weekly),741534,"September 2, 2019 to September 8, 2019 Issued Facility Permits",B,2,,2019-09-09 16:09:43 UTC,2019-09-09 16:09:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/741534
